sku,size,style,category,asin
SET389-KR-NP-S,S,SET389,Set,B09KXVBD7Z
JNE3781-KR-XXXL,3XL,JNE3781,kurta,B09K3WFS32
JNE3371-KR-XL,XL,JNE3371,kurta,B07WV4JV4D
J0341-DR-L,L,J0341,Western Dress,B099NRCT7B
JNE3671-TU-XXXL,3XL,JNE3671,Top,B098714BZP
SET264-KR-NP-XL,XL,SET264,Set,B08YN7XDSG
J0095-SET-L,L,J0095,Set,B08CMHNWBN
JNE3405-KR-S,S,JNE3405,kurta,B081WX4G4Q
JNE3461-KR-XXL,XXL,JNE3461,kurta,B08B3XF5MH
JNE3500-KR-XS,XS,JNE3500,kurta,B098117DJ3
JNE3405-KR-XS,XS,JNE3405,kurta,B081XCMYXJ
SET182-KR-DH-XS,XS,SET182,Set,B085HS947T
J0351-SET-L,L,J0351,Set,B09CSSQY4F
PJNE3368-KR-6XL,6XL,PJNE3368,kurta,B09PY99SVJ
JNE3721-KR-XXL,XXL,JNE3721,kurta,B099FCT65D
JNE3405-KR-XL,XL,JNE3405,kurta,B081WT6GG7
JNE3697-KR-XXL,XXL,JNE3697,kurta,B098133PV5
SET254-KR-NP-XS,XS,SET254,Set,B0983DDPL6
JNE3795-KR-XXXL,3XL,JNE3795,kurta,B09HMXJVFS
SET345-KR-NP-M,M,SET345,Set,B09KXV4BN8
JNE3373-KR-L,L,JNE3373,kurta,B082W7GVH7
SET291-KR-PP-M,M,SET291,Set,B099NK55YG
MEN5002-KR-L,L,MEN5002,kurta,B08YYYDN9R
NW030-TP-PJ-XS,XS,NW030,Set,B09G2RQSRZ
JNE3415-KR-XXXL,3XL,JNE3415,kurta,B082W8JXJ9
JNE3567-KR-M,M,JNE3567,kurta,B08KRXV1QR
JNE2132-KR-398-XXXL,3XL,JNE2132,kurta,B07JG3CND8
J0341-DR-S,S,J0341,Western Dress,B099NR7612
MEN5009-KR-XL,XL,MEN5009,kurta,B08YYTCPYX
J0011-LCD-M,M,J0011,Set,B08B3YNJG5
JNE3766-KR-M,M,JNE3766,kurta,B09K3XR43V
JNE3373-KR-XL,XL,JNE3373,kurta,B082W8BXW1
MEN5001-KR-XL,XL,MEN5001,kurta,B08YYRH2Q6
SET345-KR-NP-L,L,SET345,Set,B09KXT4VG7
JNE3787-KR-S,S,JNE3787,kurta,B09RKBXM5B
JNE3543-KR-S,S,JNE3543,kurta,B08HHJP41L
JNE3405-KR-L,L,JNE3405,kurta,B081WSCKPQ
J0211-DR-XXL,XXL,J0211,Ethnic Dress,B09831VWD9
J0401-DR-XXXL,3XL,J0401,Western Dress,B09SDXZBGX
SET360-KR-NP-M,M,SET360,Set,B09QJM1D7F
SET268-KR-NP-L,L,SET268,Set,B08XQ8MCKP
SET183-KR-DH-S,S,SET183,Set,B08B3Z38TJ
J0230-SKD-L,L,J0230,Set,B08XNDL1DL
JNE3744-TU-S,S,JNE3744,Top,B0986ZHR9D
JNE3510-KR-S,S,JNE3510,kurta,B08WPTJBBD
JNE3405-KR-M,M,JNE3405,kurta,B081WVMMCY
J0186-SET-S,S,J0186,Set,B091Z81MLX
J0003-SET-M,M,J0003,Set,B0894XH3LN
SET282-KR-PP-M,M,SET282,Set,B09CTCDDQ4
J0301-TP-L,L,J0301,Top,B099S6795L
JNE3869-DR-S,S,JNE3869,Western Dress,B09RK67Y51
SET324-KR-NP-XS,XS,SET324,Set,B09NQ4DD29
SET279-LC-S,S,SET279,Set,B09CT6L67S
JNE2014-KR-178-XXL,XXL,JNE2014,kurta,B077MF72BK
NW005-ST-PJ-XL,XL,NW005,Set,B0922WJ27J
JNE3579-KR-M,M,JNE3579,kurta,B08QGK2BS2
SET347-KR-NP-XS,XS,SET347,Set,B09RKFBMYD
SET264-KR-NP-M,M,SET264,Set,B08YN44FZJ
JNE3373-KR-XXL,XXL,JNE3373,kurta,B082W8RWN1
SET333-KR-DPT-XXL,XXL,SET333,Set,B09RKDZ461
SET233-KR-PP-L,L,SET233,Set,B08MXF6MZF
J0381-SKD-XXXL,3XL,J0381,Set,B09M6VGNX8
JNE3718-KR-M,M,JNE3718,kurta,B099FB63Q6
SET386-KR-NP-S,S,SET386,Set,B09K3YFPSS
JNE3745-KR-XXL,XXL,JNE3745,kurta,B09K3WDYB6
JNE3467-KR-XL,XL,JNE3467,kurta,B08CDQKS84
JNE3721-KR-L,L,JNE3721,kurta,B099FBM4FZ
JNE3405-KR-XXL,XXL,JNE3405,kurta,B081WSL2JS
SET295-KR-NP-XXXL,3XL,SET295,Set,B09PN3GVMZ
JNE3861-DR-XL,XL,JNE3861,Western Dress,B09SDZ14KR
SET288-KR-NP-XXXL,3XL,SET288,Set,B09M6STTBC
SET394-KR-NP-XXXL,3XL,SET394,Set,B09TH6R8K4
SET397-KR-NP-XXXL,3XL,SET397,Set,B09RKDPH6J
MEN5002-KR-XXL,XXL,MEN5002,kurta,B08YZ1HZ7B
SET377-KR-NP-M,M,SET377,Set,B09TZV23QS
JNE3510-KR-M,M,JNE3510,kurta,B08WPR5MCB
BTM038-PP-XXXL,3XL,BTM038,Bottom,B08KR9JYNQ
J0343-DR-M,M,J0343,Western Dress,B0982ZJ666
J0341-DR-XL,XL,J0341,Western Dress,B099NQJZPQ
J0295-DR-XXL,XXL,J0295,Western Dress,B099NSGTJ9
JNE3560-KR-M,M,JNE3560,kurta,B08PCVMF6R
J0333-DR-XXXL,3XL,J0333,Western Dress,B0983121HP
SET389-KR-NP-M,M,SET389,Set,B09KXTTVB5
JNE3801-KR-XXXL,3XL,JNE3801,kurta,B09SDYSR1F
SET098-KR-PP-M,M,SET098,Set,B07X3K4L82
MEN5013-KR-L,L,MEN5013,kurta,B08YYR9G96
J0003-SET-L,L,J0003,Set,B0894Y4PNG
JNE3718-KR-XXXL,3XL,JNE3718,kurta,B099NJ1WVX
SET347-KR-NP-S,S,SET347,Set,B09RKDJ9SQ
JNE3391-KR-XXL,XXL,JNE3391,kurta,B081WYHTF2
SET277-KR-NP-XXL,XXL,SET277,Set,B0983FZLXC
J0293-DR-S,S,J0293,Western Dress,B099NQ1SKZ
SET154-KR-NP-XL,XL,SET154,Set,B082PXMCZ4
JNE3439-KR-XL,XL,JNE3439,kurta,B081X4KQ14
SET291-KR-PP-XL,XL,SET291,Set,B099NJV9X7
SET293-KR-NP-M,M,SET293,Set,B09K3LJWBB
JNE3334-KR-M,M,JNE3334,kurta,B07S8WG31H
SET331-KR-NP-XS,XS,SET331,Set,B09NQ54RRT
