city,state,postal_code,country
Port Kristenstad,Michigan,82958,USA
Cindyview,Maryland,54400,USA
South Davidton,California,85439,USA
Clineberg,Massachusetts,46131,USA
North Josephburgh,Nevada,63360,USA
Lake Kylemouth,New Hampshire,36647,USA
West Catherinefurt,Idaho,24635,USA
Mosesberg,Washington,25492,USA
Rileyborough,California,46541,USA
Victoriaberg,South Carolina,23405,USA
Shannontown,Utah,42516,USA
North Kimberlymouth,Massachusetts,51890,USA
Georgechester,Arkansas,7415,USA
Robertsberg,Missouri,40008,USA
East Marymouth,Vermont,48453,USA
Anthonychester,Illinois,11350,USA
Dawnside,Wisconsin,97602,USA
Lake April,North Carolina,18309,USA
Wilkersonside,Montana,45630,USA
Lake Jasonhaven,Minnesota,53714,USA
Joshuaview,Connecticut,58137,USA
West Jasminestad,Oregon,29638,USA
Nguyenfurt,Indiana,21064,USA
Hoffmanview,Michigan,13359,USA
Huynhburgh,North Dakota,96016,USA
Lake Sheilamouth,Kentucky,88218,USA
South Jessicaville,Wyoming,7979,USA
Clarencebury,Montana,42287,USA
South Karenchester,South Dakota,26636,USA
Brandonbury,North Dakota,2232,USA
New Brittanyborough,Alaska,34127,USA
Hooperberg,South Carolina,63496,USA
Lake Mariaton,Utah,31742,USA
Connieville,Virginia,69193,USA
Wendymouth,West Virginia,78522,USA
North Amandaland,Florida,56500,USA
Jessicaside,West Virginia,69496,USA
Port Jamiefurt,North Dakota,60591,USA
Owenton,Alaska,68671,USA
New Michaelland,Kentucky,71412,USA
Natalieshire,Rhode Island,72182,USA
Baileyhaven,Georgia,59358,USA
Port Leah,North Dakota,93555,USA
Gardnerport,New Hampshire,92187,USA
Leahland,Alabama,79802,USA
Riveraborough,New Jersey,34483,USA
South Christopher,Kansas,29328,USA
Port Jenniferton,Colorado,1256,USA
Taylormouth,Idaho,66602,USA
Jeremyview,Kentucky,16471,USA
Amandafort,South Carolina,55857,USA
Cooperburgh,Arizona,35174,USA
Matthewville,Iowa,23434,USA
Powersberg,North Carolina,55511,USA
Smithburgh,South Carolina,41379,USA
East Monica,Louisiana,63995,USA
Moralesberg,Alaska,77341,USA
East Reginastad,Illinois,8038,USA
Villarrealville,New Mexico,33141,USA
South Leestad,Virginia,22822,USA
Alexandershire,Michigan,14410,USA
Willishaven,Missouri,75990,USA
Williamsbury,Pennsylvania,92123,USA
Tonyton,Kentucky,21629,USA
East Christinafurt,Colorado,62028,USA
Tuckerville,New Mexico,71215,USA
Johnmouth,Washington,83399,USA
Lake Kristin,South Carolina,41957,USA
Davidfurt,Texas,96175,USA
Grossburgh,Missouri,78668,USA
North Emily,North Dakota,61359,USA
South Michellemouth,West Virginia,97936,USA
Bowmanview,Connecticut,91093,USA
Williamsside,Oregon,72613,USA
