ship_city,ship_state,ship_postal_code,ship_country,destination_id
West Deniseland,Minnesota,26450,USA,1
New Cesarborough,Nebraska,96610,USA,2
Matthewtown,Arkansas,3375,USA,3
Bentonstad,North Carolina,78970,USA,4
West Kimberly,Florida,24216,USA,5
Lake Rachaelshire,Hawaii,27983,USA,6
South Staciefort,New York,58303,USA,7
New Jeffreyside,Maryland,83712,USA,8
West Melvinstad,Delaware,67119,USA,9
Christinefurt,Arkansas,50518,USA,10
Garyfurt,California,55592,USA,11
West Kaitlin,Kansas,74606,USA,12
South Alexland,New Hampshire,70926,USA,13
Millerville,Texas,37301,USA,14
West Thomas,New Hampshire,40819,USA,15
New Elizabeth,Ohio,27892,USA,16
Lake Margaretfurt,Kansas,74403,USA,17
Owenstown,Mississippi,48474,USA,18
Monicastad,North Dakota,95157,USA,19
Luishaven,New Hampshire,30000,USA,20
Lewisborough,Alabama,30390,USA,21
Gilesside,Wisconsin,88072,USA,22
East Eric,Ohio,46501,USA,23
Amberville,California,86718,USA,24
Hoffmanport,Illinois,77283,USA,25
New Jose,Tennessee,70501,USA,26
Valerietown,Missouri,62417,USA,27
Albertville,Louisiana,18177,USA,28
Lake Donnafort,South Dakota,92860,USA,29
Kington,Alabama,62430,USA,30
Andersonborough,Alabama,43482,USA,31
North Seanmouth,Rhode Island,28966,USA,32
Hernandezberg,Delaware,98844,USA,33
Lake Paul,Virginia,59620,USA,34
Lake Mark,Alaska,60820,USA,35
North Amberland,North Carolina,95439,USA,36
Katrinafurt,South Dakota,59700,USA,37
Thomasfurt,New Jersey,71564,USA,38
New Veronicaton,Wyoming,49642,USA,39
Robertsburgh,Delaware,54650,USA,40
West Katie,Minnesota,76222,USA,41
Lake Jessicaville,Texas,1816,USA,42
North Karen,Rhode Island,12339,USA,43
Smithmouth,Ohio,16462,USA,44
West Bruceberg,Louisiana,30495,USA,45
Victoriaside,Tennessee,56848,USA,46
Lake Jessica,Idaho,62112,USA,47
North Davidfort,Illinois,41822,USA,48
Lake Chris,Minnesota,12607,USA,49
East Jennifer,Arkansas,4138,USA,50
Lake Daniel,Wyoming,14712,USA,51
Michelleland,Illinois,24682,USA,52
New Melissa,New Mexico,40140,USA,53
Guerreroport,Michigan,85014,USA,54
Albertport,Rhode Island,67306,USA,55
West Jerrystad,Iowa,11024,USA,56
Sharonfort,Montana,38683,USA,57
West Heathermouth,Wyoming,21794,USA,58
South Travisport,Oklahoma,37815,USA,59
Jessehaven,Nebraska,54559,USA,60
North Tammy,North Dakota,45691,USA,61
Port Amanda,North Dakota,93929,USA,62
West Isaiahtown,New Jersey,7314,USA,63
New Charlesland,California,18636,USA,64
Evanburgh,Ohio,28364,USA,65
Snowbury,Hawaii,89515,USA,66
Williamsontown,South Dakota,97346,USA,67
Michelestad,Arizona,10018,USA,68
Chandlerberg,Connecticut,72020,USA,69
Terryborough,Ohio,74584,USA,70
West Steven,Nevada,85582,USA,71
Lake Crystal,Rhode Island,36815,USA,72
Port Rebeccatown,Tennessee,41210,USA,73
Matthewshire,Maine,1691,USA,74
Stephanieburgh,South Dakota,78239,USA,75
Hardinbury,North Carolina,63071,USA,76
Michellefort,Arkansas,82697,USA,77
North Ryanton,Alaska,78898,USA,78
East Marissa,Indiana,53647,USA,79
New Cassandraberg,New York,11486,USA,80
Ryantown,Iowa,35998,USA,81
Billytown,Arizona,92891,USA,82
Lake William,Hawaii,63625,USA,83
Katherineborough,Delaware,16987,USA,84
North Brittneystad,Hawaii,1267,USA,85
Nicholasshire,South Dakota,94746,USA,86
Esparzabury,Florida,53531,USA,87
Lake Jessica,Massachusetts,50842,USA,88
North Christopher,Kansas,40004,USA,89
New Ericport,Minnesota,84448,USA,90
North Kellyberg,Nebraska,34129,USA,91
East Maria,North Dakota,77602,USA,92
Lake Chelsey,North Dakota,94495,USA,93
Port Matthew,Maryland,26091,USA,94
West Adammouth,West Virginia,45635,USA,95
Ianmouth,Indiana,83542,USA,96
Brennanstad,South Carolina,81674,USA,97
Kristenbury,Oregon,10712,USA,98
South Michelletown,Alaska,1830,USA,99
Flowersfort,Indiana,53549,USA,100
Marksville,Kansas,66143,USA,101
Guerreroside,Virginia,8561,USA,102
Soniaville,Georgia,44863,USA,103
Jessicaside,Arizona,53154,USA,104
Racheltown,South Dakota,49707,USA,105
Lake Brittney,Indiana,29686,USA,106
Mariachester,South Carolina,53729,USA,107
Mcclainview,Kansas,13843,USA,108
East Jacobhaven,New Hampshire,64026,USA,109
North Deniseton,Washington,43952,USA,110
Thompsonton,Ohio,93894,USA,111
Robinsonburgh,California,54964,USA,112
New John,South Dakota,16489,USA,113
Lake Marymouth,Missouri,27510,USA,114
Lake Gregory,Colorado,82313,USA,115
Dianashire,Kansas,18706,USA,116
West Juanborough,Vermont,81434,USA,117
Saraview,Kansas,79745,USA,118
Christophershire,Nebraska,58657,USA,119
Michaelborough,North Carolina,62917,USA,120
Lewismouth,Nevada,77054,USA,121
South Johnstad,Alabama,25851,USA,122
Parrishshire,Iowa,45364,USA,123
Christianside,Michigan,21153,USA,124
Esparzaville,Arkansas,59348,USA,125
Wisechester,Maine,6112,USA,126
Port Christianfurt,South Carolina,92944,USA,127
